sds_sensor,bme_sensor,lat,lon,sealevel,surface_alt,surface_level,geometry,nearest_park,nearest_road,nearest_indust
37857,37858,55.868,37.472,191.79715599821708,173.0,18.79715599821708,POINT (37.472 55.868),1770.2033811038918,673.6166566453466,377.10467567899235
51933,51934,55.788,37.64,176.86067450290545,162.0,14.860674502905454,POINT (37.64 55.788),1929.0987764810088,17.236355945418875,332.1128884446446
49660,49661,55.74099768,37.54600435,143.12328017556467,138.0,5.123280175564673,POINT (37.54600435 55.74099768),1025.350776374415,549.3608653093223,1264.8657172803328
53369,53370,55.8753763,37.48824199,203.62637049042144,179.0,24.62637049042144,POINT (37.48824199 55.8753763),1155.311469990249,467.6058355354018,1040.7411949476702
55160,55161,55.752,37.5,123.15024189520555,136.0,-12.849758104794446,POINT (37.5 55.752),865.2424983233653,590.5406085460713,1214.0974865534447
30529,30530,55.9358852,37.49002934,214.81734676623327,180.0,34.81734676623327,POINT (37.49002934 55.9358852),978.330480254476,224.67438851804425,1784.1564580752206
32226,32227,55.71625268,37.45894294,171.9126303863845,152.0,19.912630386384507,POINT (37.45894294 55.71625268),1295.666417215664,767.8283734234747,1584.6158025492286
42812,42813,55.68431626,37.57102454,190.0287465273772,189.0,1.028746527377166,POINT (37.57102454 55.68431626),3893.0967220417533,117.65492636515171,1642.5265230233908
22044,22045,55.78,37.452,149.27612392744885,150.0,-0.7238760725511497,POINT (37.452 55.78),1607.7408020255311,145.12719836044812,381.36393581366156
53405,53406,55.938,37.506,239.45672643805904,182.0,57.45672643805904,POINT (37.506 55.938),1287.1715391699731,56.569366039064526,1238.6026049035686
35012,35013,55.7756172,37.53317642,183.8493694242533,151.0,32.8493694242533,POINT (37.53317642 55.7756172),3130.1093019124737,84.90638416458627,942.7919619296465
26191,26192,55.672,37.764,131.5772544633888,127.0,4.577254463388812,POINT (37.764 55.672),676.9668172797815,613.4275003048116,1373.5103846578222
31087,31088,55.914,37.554,212.1090939742604,182.0,30.10909397426039,POINT (37.554 55.914),701.2555140624688,976.0351172541675,1052.3413841873942
55405,55406,55.7813346,37.480229,157.18729204360324,152.0,5.187292043603236,POINT (37.480229 55.7813346),1114.875888735126,0.0,1512.4472602379767
44220,44221,55.94075088,37.31867641,190.6346516804985,185.0,5.634651680498507,POINT (37.31867641 55.94075088),2320.722245413083,541.1444594344769,499.64602919067653
45602,45603,55.8865061,37.4470015,228.1990246962832,182.0,46.199024696283175,POINT (37.4470015 55.8865061),311.0628506287005,846.7429663109527,1082.9931384411207
44999,45000,55.784,37.528,174.53817773335396,151.0,23.53817773335396,POINT (37.528 55.784),3489.7513206158574,1274.331458454825,864.4648770642254
44137,44138,55.942,37.314,184.86293143735497,192.0,-7.137068562645027,POINT (37.314 55.942),2046.9581787933173,654.575767900443,184.17645470856752
32337,32338,55.93744762,37.51974016,183.57929530116257,186.0,-2.420704698837426,POINT (37.51974016 55.93744762),811.3942433182815,217.0929747615108,997.6520079960886
43762,43763,55.70700389,37.4775517,178.6259672647178,166.0,12.625967264717817,POINT (37.4775517 55.70700389),681.9870916881947,872.032231285405,958.2967470458791
53841,53842,55.716,37.752,161.51552293017704,136.0,25.51552293017704,POINT (37.752 55.716),993.8284467796265,1293.7277254431297,1352.7692144015098
23515,23516,55.784,37.572,147.07467144332068,165.0,-17.925328556679318,POINT (37.572 55.784),2829.022137382277,156.94286020598597,1060.5944280629521
56259,56260,55.6995468,37.49040216,165.32609398143418,167.0,-1.673906018565816,POINT (37.49040216 55.6995468),2117.977320247308,961.032222095754,519.5201723198072
44197,44198,55.512,37.764,138.8115057898737,146.0,-7.188494210126265,POINT (37.764 55.512),504.06169762909906,858.3542409483359,1903.907036646862
34150,34151,55.922218,37.534797,183.86308322413595,178.0,5.8630832241359485,POINT (37.534797 55.922218),816.3647706531976,141.3817242481962,1417.9882890542028
