sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
35443;BME280;21561;55.654;37.592;2019-11-30T15:28:16;97957.00;;;2.32;76.10
35443;BME280;21561;55.654;37.592;2019-11-30T15:30:47;97957.00;;;2.22;76.53
35443;BME280;21561;55.654;37.592;2019-11-30T15:33:16;97956.00;;;2.16;77.57
35443;BME280;21561;55.654;37.592;2019-11-30T15:35:45;97958.00;;;2.17;76.88
35443;BME280;21561;55.654;37.592;2019-11-30T15:38:16;97957.00;;;2.16;76.98
35443;BME280;21561;55.654;37.592;2019-11-30T15:40:45;97961.00;;;2.16;77.12
35443;BME280;21561;55.654;37.592;2019-11-30T15:43:13;97957.00;;;2.08;77.65
35443;BME280;21561;55.654;37.592;2019-11-30T15:45:42;97966.00;;;2.06;77.85
35443;BME280;21561;55.654;37.592;2019-11-30T15:48:13;97959.00;;;2.64;75.86
35443;BME280;21561;55.654;37.592;2019-11-30T15:50:44;97966.00;;;2.68;75.23
