,Unnamed: 0,timestamp,P1,P2,pressure,temperature,humidity,sds_sensor,lat,lon,sealevel_alt,surface_alt,nearest_park,nearest_road,nearest_indust,temp_meteo,pres_meteo,hum_meteo,wind_direction,wind_speed,precipitation,prec_amount,prec_time,visibility,dew_point_temp,pred,low_bound,up_bound
2978,13990,2021-06-13 22:00:00+00:00,10.63,5.0465217391304344,99025.40521739131,19.65826086956521,100.0,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,17.9,99604.8662,70.0,"Штиль, безветрие",0.0,,,,10.0,12.3,8.045265151515153,37.41353124614547,37.41353124610786
2979,13991,2021-06-13 23:00:00+00:00,10.903333333333334,5.44,99077.0712,19.0292,100.0,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,17.9,99604.8662,70.0,"Штиль, безветрие",0.0,,,,10.0,12.3,8.045265151515153,37.41353124614547,37.41353124610786
2980,13443,2021-06-13 00:00:00+00:00,10.442499999999997,8.196666666666669,98266.80874999998,18.1475,79.17875,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,16.9,99178.2358,79.0,"Штиль, безветрие",0.0,,,,10.0,13.3,8.045265151515409,37.41353124614661,37.413531246109
2981,13444,2021-06-13 01:00:00+00:00,11.217727272727272,8.630454545454546,98276.84409090909,18.14681818181818,81.22545454545455,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,18.2,99164.9036,75.0,"Штиль, безветрие",0.0,,Осадков нет,12,10.0,13.7,8.202553402655974,38.104181536862555,38.104181536826786
2982,13445,2021-06-13 02:00:00+00:00,11.453333333333333,9.02,98260.2247826087,18.658695652173915,80.21217391304349,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,18.2,99164.9036,75.0,"Штиль, безветрие",0.0,,Осадков нет,12,10.0,13.7,8.045265151515409,37.41353124614661,37.413531246109
2983,13446,2021-06-13 03:00:00+00:00,8.5625,7.131666666666668,98263.8024,19.8576,75.37639999999998,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,18.2,99164.9036,75.0,"Штиль, безветрие",0.0,,Осадков нет,12,10.0,13.7,8.04526515151537,37.41353124614644,37.41353124610883
2984,13447,2021-06-13 04:00:00+00:00,5.809545454545455,4.496363636363637,98271.06636363636,21.057727272727274,68.58454545454545,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,22.5,99164.9036,55.0,"Ветер, дующий с северо-северо-запада",1.0,,Осадков нет,12,10.0,13.1,8.232074990050368,38.228801133799074,38.228801133763646
2985,13448,2021-06-13 05:00:00+00:00,4.3092,3.1503999999999994,98271.40791666666,22.90833333333333,61.45666666666667,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,22.5,99164.9036,55.0,"Ветер, дующий с северо-северо-запада",1.0,,Осадков нет,12,10.0,13.1,8.053973227888315,37.45305828297773,37.45305828294023
2986,13449,2021-06-13 06:00:00+00:00,4.564166666666668,2.803333333333333,98279.8508,24.2824,55.4304,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,22.5,99164.9036,55.0,"Ветер, дующий с северо-северо-запада",1.0,,Осадков нет,12,10.0,13.1,8.032487428921097,37.355328334015745,37.355328333977965
2987,13450,2021-06-13 07:00:00+00:00,4.258800000000001,2.6128,98293.6104,24.451200000000004,54.07680000000001,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,25.7,99204.9002,40.0,"Ветер, дующий с востоко-юго-востока",1.0,,,,10.0,11.2,6.043947014202215,27.421589406924983,27.42158940689795
2988,13451,2021-06-13 08:00:00+00:00,3.6383333333333336,2.230833333333333,98304.26416666665,25.131249999999994,50.28916666666668,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,25.7,99204.9002,40.0,"Ветер, дующий с востоко-юго-востока",1.0,,,,10.0,11.2,4.152319070331113,18.79396468638533,18.793964686366618
2989,13452,2021-06-13 09:00:00+00:00,2.85875,1.9125,98301.56045454547,25.72909090909091,47.49681818181818,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,25.7,99204.9002,40.0,"Ветер, дующий с востоко-юго-востока",1.0,,,,10.0,11.2,3.6081418125900995,16.502045202588064,16.50204520257126
2990,13453,2021-06-13 10:00:00+00:00,3.6452631578947363,2.206842105263158,98279.59047619047,26.340952380952388,45.27095238095239,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,26.2,99204.9002,39.0,"Ветер, дующий с запада",1.0,,,,10.0,11.3,3.7325794298117607,17.001071030602645,17.001071030586704
2991,13454,2021-06-13 11:00:00+00:00,4.409285714285715,2.3278571428571424,98307.8492857143,28.9,42.76142857142858,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,26.2,99204.9002,39.0,"Ветер, дующий с запада",1.0,,,,10.0,11.3,5.882515192129216,26.675120165410256,26.67512016538163
2992,13455,2021-06-13 12:00:00+00:00,3.253478260869565,2.043913043478261,98280.15521739132,30.926086956521743,37.474347826086955,35488,55.67,37.578,205.73394294381146,23.73394294381152,1391.8896828821246,441.11991054786415,1594.5637926428885,26.2,99204.9002,39.0,"Ветер, дующий с запада",1.0,,,,10.0,11.3,8.025757104821704,37.32457400563081,37.32457400559297
